0c80008b0a28d356026f4b1097041689,74,23,0,1,20150301,0,6,1
0c80008b0a28d356026f4b1097041689,63,25,0,1,20150302,1,0,0
0c80008b0a28d356026f4b1097041689,76,13,2,1,20150303,2,1,0
0c80008b0a28d356026f4b1097041689,74,21,0,1,20150304,3,2,0
0c80008b0a28d356026f4b1097041689,93,13,1,1,20150305,4,3,0
0c80008b0a28d356026f4b1097041689,114,8,0,1,20150306,5,4,0
0c80008b0a28d356026f4b1097041689,108,9,0,1,20150307,6,5,1
0c80008b0a28d356026f4b1097041689,76,41,0,1,20150308,7,6,1
0c80008b0a28d356026f4b1097041689,86,30,1,1,20150309,8,0,0
0c80008b0a28d356026f4b1097041689,128,16,0,1,20150310,9,1,0
0c80008b0a28d356026f4b1097041689,81,13,0,1,20150311,10,2,0
0c80008b0a28d356026f4b1097041689,72,16,1,1,20150312,11,3,0
0c80008b0a28d356026f4b1097041689,96,55,1,1,20150313,12,4,0
0c80008b0a28d356026f4b1097041689,92,26,0,1,20150314,13,5,1
0c80008b0a28d356026f4b1097041689,93,21,1,1,20150315,14,6,1
0c80008b0a28d356026f4b1097041689,117,62,0,1,20150316,15,0,0
0c80008b0a28d356026f4b1097041689,154,32,0,1,20150317,16,1,0
0c80008b0a28d356026f4b1097041689,173,30,0,1,20150318,17,2,0
0c80008b0a28d356026f4b1097041689,104,47,0,1,20150319,18,3,0
0c80008b0a28d356026f4b1097041689,98,78,0,1,20150320,19,4,0
0c80008b0a28d356026f4b1097041689,160,41,0,1,20150321,20,5,1
0c80008b0a28d356026f4b1097041689,166,43,0,1,20150322,21,6,1
0c80008b0a28d356026f4b1097041689,135,21,1,1,20150323,22,0,0
0c80008b0a28d356026f4b1097041689,147,24,0,1,20150324,23,1,0
0c80008b0a28d356026f4b1097041689,178,20,0,1,20150325,24,2,0
0c80008b0a28d356026f4b1097041689,153,29,0,1,20150326,25,3,0
0c80008b0a28d356026f4b1097041689,134,35,1,1,20150327,26,4,0
0c80008b0a28d356026f4b1097041689,129,33,2,1,20150328,27,5,1
0c80008b0a28d356026f4b1097041689,122,31,2,1,20150329,28,6,1
0c80008b0a28d356026f4b1097041689,148,27,2,1,20150330,29,0,0
0c80008b0a28d356026f4b1097041689,117,20,7,1,20150331,30,1,0
