0c80008b0a28d356026f4b1097041689,296,20150901
0c80008b0a28d356026f4b1097041689,294,20150902
0c80008b0a28d356026f4b1097041689,281,20150903
0c80008b0a28d356026f4b1097041689,310,20150904
0c80008b0a28d356026f4b1097041689,313,20150905
0c80008b0a28d356026f4b1097041689,314,20150906
0c80008b0a28d356026f4b1097041689,323,20150907
0c80008b0a28d356026f4b1097041689,345,20150908
0c80008b0a28d356026f4b1097041689,574,20150909
0c80008b0a28d356026f4b1097041689,564,20150910
0c80008b0a28d356026f4b1097041689,580,20150911
0c80008b0a28d356026f4b1097041689,609,20150912
0c80008b0a28d356026f4b1097041689,477,20150913
0c80008b0a28d356026f4b1097041689,506,20150914
0c80008b0a28d356026f4b1097041689,551,20150915
0c80008b0a28d356026f4b1097041689,488,20150916
0c80008b0a28d356026f4b1097041689,491,20150917
0c80008b0a28d356026f4b1097041689,504,20150918
0c80008b0a28d356026f4b1097041689,509,20150919
0c80008b0a28d356026f4b1097041689,505,20150920
0c80008b0a28d356026f4b1097041689,486,20150921
0c80008b0a28d356026f4b1097041689,515,20150922
0c80008b0a28d356026f4b1097041689,514,20150923
0c80008b0a28d356026f4b1097041689,561,20150924
0c80008b0a28d356026f4b1097041689,583,20150925
0c80008b0a28d356026f4b1097041689,1144,20150926
0c80008b0a28d356026f4b1097041689,1001,20150927
0c80008b0a28d356026f4b1097041689,1006,20150928
0c80008b0a28d356026f4b1097041689,1123,20150929
0c80008b0a28d356026f4b1097041689,1206,20150930
0c80008b0a28d356026f4b1097041689,1244,20151001
0c80008b0a28d356026f4b1097041689,1270,20151002
0c80008b0a28d356026f4b1097041689,1205,20151003
0c80008b0a28d356026f4b1097041689,1015,20151004
0c80008b0a28d356026f4b1097041689,993,20151005
0c80008b0a28d356026f4b1097041689,1105,20151006
0c80008b0a28d356026f4b1097041689,1052,20151007
0c80008b0a28d356026f4b1097041689,1061,20151008
0c80008b0a28d356026f4b1097041689,1120,20151009
0c80008b0a28d356026f4b1097041689,1097,20151010
0c80008b0a28d356026f4b1097041689,1014,20151011
0c80008b0a28d356026f4b1097041689,1079,20151012
0c80008b0a28d356026f4b1097041689,1175,20151013
0c80008b0a28d356026f4b1097041689,1339,20151014
0c80008b0a28d356026f4b1097041689,1290,20151015
0c80008b0a28d356026f4b1097041689,1253,20151016
0c80008b0a28d356026f4b1097041689,1304,20151017
0c80008b0a28d356026f4b1097041689,1258,20151018
0c80008b0a28d356026f4b1097041689,1199,20151019
0c80008b0a28d356026f4b1097041689,1188,20151020
0c80008b0a28d356026f4b1097041689,1238,20151021
0c80008b0a28d356026f4b1097041689,1330,20151022
0c80008b0a28d356026f4b1097041689,1385,20151023
0c80008b0a28d356026f4b1097041689,1339,20151024
0c80008b0a28d356026f4b1097041689,1379,20151025
0c80008b0a28d356026f4b1097041689,1299,20151026
0c80008b0a28d356026f4b1097041689,1421,20151027
0c80008b0a28d356026f4b1097041689,1493,20151028
0c80008b0a28d356026f4b1097041689,1585,20151029
0c80008b0a28d356026f4b1097041689,1505,20151030
25739ad1c56a511fcac86018ac4e49bb,205,20150901
25739ad1c56a511fcac86018ac4e49bb,203,20150902
25739ad1c56a511fcac86018ac4e49bb,203,20150903
25739ad1c56a511fcac86018ac4e49bb,205,20150904
25739ad1c56a511fcac86018ac4e49bb,200,20150905
25739ad1c56a511fcac86018ac4e49bb,184,20150906
25739ad1c56a511fcac86018ac4e49bb,202,20150907
25739ad1c56a511fcac86018ac4e49bb,202,20150908
25739ad1c56a511fcac86018ac4e49bb,206,20150909
25739ad1c56a511fcac86018ac4e49bb,233,20150910
25739ad1c56a511fcac86018ac4e49bb,245,20150911
